pclass,age,sex,sibsp,parch,fare,cabin,embarked,title,survived
1,29.0,female,0,0,211.3375,B,S,Miss,1
1,0.9167,male,1,2,151.55,C,S,Master,1
1,2.0,female,1,2,151.55,C,S,Miss,0
1,30.0,male,1,2,151.55,C,S,Mr,0
1,25.0,female,1,2,151.55,C,S,Mrs,0
1,48.0,male,0,0,26.55,E,S,Mr,1
1,63.0,female,1,0,77.9583,D,S,Miss,1
1,39.0,male,0,0,0.0,A,S,Mr,0
1,53.0,female,2,0,51.4792,C,S,Mrs,1
1,71.0,male,0,0,49.5042,,C,Mr,0
1,47.0,male,1,0,227.525,C,C,Other,0
1,18.0,female,1,0,227.525,C,C,Mrs,1
1,24.0,female,0,0,69.3,B,C,Other,1
1,26.0,female,0,0,78.85,,S,Miss,1
1,80.0,male,0,0,30.0,A,S,Mr,1
1,,male,0,0,25.925,,S,Mr,0
1,24.0,male,0,1,247.5208,B,C,Mr,0
1,50.0,female,0,1,247.5208,B,C,Mrs,1
1,32.0,female,0,0,76.2917,D,C,Miss,1
1,36.0,male,0,0,75.2417,C,C,Mr,0
1,37.0,male,1,1,52.5542,D,S,Mr,1
1,47.0,female,1,1,52.5542,D,S,Mrs,1
1,26.0,male,0,0,30.0,C,C,Mr,1
1,42.0,female,0,0,227.525,,C,Miss,1
1,29.0,female,0,0,221.7792,C,S,Miss,1
1,25.0,male,0,0,26.0,,C,Mr,0
1,25.0,male,1,0,91.0792,B,C,Mr,1
1,19.0,female,1,0,91.0792,B,C,Mrs,1
1,35.0,female,0,0,135.6333,C,S,Miss,1
1,28.0,male,0,0,26.55,C,S,Mr,1
1,45.0,male,0,0,35.5,T,S,Mr,0
1,40.0,male,0,0,31.0,A,C,Mr,1
1,30.0,female,0,0,164.8667,C,S,Miss,1
1,58.0,female,0,0,26.55,C,S,Miss,1
1,42.0,male,0,0,26.55,D,S,Mr,0
1,45.0,female,0,0,262.375,,C,Miss,1
1,22.0,female,0,1,55.0,E,S,Miss,1
1,,male,0,0,26.55,,S,Mr,1
1,41.0,male,0,0,30.5,A,S,Mr,0
1,48.0,male,0,0,50.4958,B,C,Mr,0
1,,male,0,0,39.6,,C,Other,0
1,44.0,female,0,0,27.7208,B,C,Mrs,1
1,59.0,female,2,0,51.4792,C,S,Mrs,1
1,60.0,female,0,0,76.2917,D,C,Mrs,1
1,41.0,female,0,0,134.5,E,C,Miss,1
1,45.0,male,0,0,26.55,B,S,Other,0
1,,male,0,0,31.0,,S,Mr,0
1,42.0,male,0,0,26.2875,E,S,Mr,1
1,53.0,female,0,0,27.4458,,C,Mrs,1
1,36.0,male,0,1,512.3292,B,C,Mr,1
1,58.0,female,0,1,512.3292,B,C,Mrs,1
1,33.0,male,0,0,5.0,B,S,Mr,0
1,28.0,male,0,0,47.1,,S,Mr,0
1,17.0,male,0,0,47.1,,S,Mr,0
1,11.0,male,1,2,120.0,B,S,Master,1
1,14.0,female,1,2,120.0,B,S,Miss,1
1,36.0,male,1,2,120.0,B,S,Mr,1
1,36.0,female,1,2,120.0,B,S,Mrs,1
1,49.0,male,0,0,26.0,,S,Mr,0
1,,female,0,0,27.7208,,C,Mrs,1
1,36.0,male,1,0,78.85,C,S,Mr,0
1,76.0,female,1,0,78.85,C,S,Mrs,1
1,46.0,male,1,0,61.175,E,S,Mr,0
1,47.0,female,1,0,61.175,E,S,Mrs,1
1,27.0,male,1,0,53.1,E,S,Mr,1
