pclass,age,sibsp,parch,fare,age_NA,fare_NA,sex_male,cabin_Missing,cabin_Rare,embarked_Missing,embarked_Q,embarked_S,title_Mr,title_Mrs,title_Rare
3,-0.3701620913204113,0,0,-0.5047821466761696,0,0,1,1,0,0,0,1,1,0,0
1,0.9040286440564046,0,0,1.971555047711324,0,0,0,0,1,0,0,0,0,0,0
3,-0.13125132843725829,0,0,-0.5085326016646277,1,0,1,1,0,0,1,0,1,0,0
3,-0.9276205380477682,0,0,-0.507716774992647,0,0,0,1,0,0,0,1,0,0,0
2,-0.05161440747620729,1,0,-0.24898037842322485,0,0,1,1,0,0,0,1,1,0,0
3,-0.8479836170867172,0,0,-0.5101622985897114,0,0,1,0,1,0,0,1,1,0,0
2,1.3022132488616596,0,0,-0.1511594345406456,0,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,4,-0.16159301641516152,1,0,0,1,0,0,0,1,0,1,0
1,-0.13125132843725829,0,0,-0.1511594345406456,1,0,1,0,1,0,0,1,1,0,0
1,0.5058440392511496,0,0,1.9937271428517493,0,0,0,0,0,0,0,0,0,0,0
3,-0.6887097751646152,0,0,-0.5082058797120599,0,0,1,1,0,0,1,0,1,0,0
3,-0.6090728542035643,0,0,-0.5023366230791051,0,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.5053534209884438,1,0,1,1,0,0,0,1,1,0,0
2,0.5058440392511496,0,0,-0.40549388863535163,0,0,0,0,1,0,0,1,0,1,0
2,-0.5294359332425133,0,0,-0.39000492038098405,0,0,0,0,1,0,0,0,0,1,0
1,-1.0868943799698703,0,0,1.0324739864385633,0,0,0,0,1,0,0,1,0,0,0
3,-0.13125132843725829,3,1,-0.16159301641516152,1,0,0,1,0,0,0,1,0,0,0
3,-1.5647159057361761,0,2,-0.18735318377719995,0,0,0,1,0,0,0,1,0,0,0
1,-0.13125132843725829,0,0,-0.6598283427300576,1,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,2,-0.5082058797120599,1,0,0,1,0,0,1,0,0,0,0
1,1.3818501698227106,1,0,3.7915137086467112,0,0,1,0,0,0,0,0,0,0,1
3,-1.5647159057361761,5,2,0.2577321108885356,0,0,0,1,0,0,0,1,0,0,0
3,0.42620711829009866,0,0,-0.5082058797120599,0,0,0,1,0,0,1,0,0,0,0
3,-0.05161440747620729,0,0,-0.5061672912415469,0,0,1,1,0,0,0,1,1,0,0
3,0.5058440392511496,0,0,-0.5053534209884438,0,0,1,1,0,0,0,1,1,0,0
3,0.42620711829009866,0,0,-0.5204334976973822,0,0,1,1,0,0,0,1,1,0,0
2,-2.1221743524635333,1,2,0.15363497524645012,0,0,0,1,0,0,0,0,0,0,0
1,-0.21088824939830927,1,0,0.3790300813029339,0,0,1,0,1,0,0,1,1,0,0
3,-0.6090728542035643,0,0,-0.4844843008205344,0,0,0,1,0,0,0,1,0,0,0
3,-0.13125132843725829,0,0,-0.5183949092268694,1,0,1,1,0,0,0,0,1,0,0
2,0.1872963554069457,0,0,-0.40549388863535163,0,0,0,1,0,0,0,1,0,1,0
3,-0.13125132843725829,0,0,-0.505678186522134,1,0,0,1,0,0,1,0,0,0,0
2,1.4614870907837616,1,2,0.6118439277434725,0,0,0,1,0,0,0,1,0,1,0
3,-0.13125132843725829,0,0,-0.5082058797120599,1,0,1,1,0,0,1,0,1,0,0
3,-0.13125132843725829,1,0,-0.3448449034281525,1,0,0,1,0,0,0,1,0,1,0
3,-1.8036266686193292,4,1,0.11662539933791508,0,0,1,1,0,0,0,1,0,0,1
3,-0.9276205380477682,0,0,-0.5073098398660955,0,0,1,1,0,0,0,1,1,0,0
3,1.1429394069395575,0,0,-0.5023366230791051,0,0,1,1,0,0,0,1,1,0,0
2,-0.8479836170867172,0,0,-0.45440436057664124,0,0,1,1,0,0,0,1,1,0,0
3,0.028022513484843702,0,0,-0.510569233716263,0,0,0,1,0,0,1,0,0,0,0
3,-0.13125132843725829,1,0,-0.5338838774812369,1,0,1,1,0,0,0,0,1,0,0
3,-0.44979901228146224,0,0,-0.5131790964990501,0,0,1,1,0,0,0,1,1,0,0
3,-1.6443528266972272,1,1,-0.3615566334810524,0,0,0,1,0,0,0,0,0,0,0
3,-0.05161440747620729,1,0,-0.5219829814484823,0,0,1,1,0,0,0,1,1,0,0
1,2.0189455375111187,0,0,1.9937271428517493,0,0,0,0,0,0,0,0,0,1,0
3,0.5058440392511496,0,0,-0.47396854935315713,0,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.5023366230791051,1,0,0,1,0,0,0,1,0,0,0
3,-0.05161440747620729,0,0,-0.5047821466761696,0,0,1,1,0,0,0,1,1,0,0
1,1.2225763279006086,0,1,0.5022844705949837,0,0,0,1,0,0,0,0,0,1,0
1,-0.13125132843725829,0,0,-0.15262674869888426,1,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.507716774992647,1,0,1,1,0,0,0,1,1,0,0
2,2.5764039842384756,0,0,-0.45440436057664124,0,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.5184770788197306,1,0,1,1,0,0,0,0,1,0,0
2,-0.21088824939830927,1,0,-0.24898037842322485,0,0,0,1,0,0,0,1,0,1,0
3,-0.7683466961256662,0,0,-0.49035355745348913,0,0,1,1,0,0,0,1,1,0,0
1,-1.0868943799698703,0,1,0.11100069506466674,0,0,0,0,1,0,0,1,0,0,0
1,0.028022513484843702,0,0,0.23034224660141345,0,0,1,1,0,0,0,1,1,0,0
1,0.6651178811732517,0,0,3.7915137086467112,0,0,0,0,0,0,0,0,0,0,0
3,-0.7683466961256662,1,0,-0.5047821466761696,0,0,1,1,0,0,0,1,1,0,0
1,0.5058440392511496,1,0,0.8828079422982169,0,0,1,0,0,0,0,1,1,0,0
3,-0.8878020775672427,0,0,-0.5173364866140597,0,0,0,1,0,0,1,0,0,0,0
2,-0.8479836170867172,0,0,-0.40549388863535163,0,0,1,1,0,0,0,1,1,0,0
2,-0.44979901228146224,1,1,0.06412881159389006,0,0,0,1,0,0,0,0,0,1,0
3,-0.44979901228146224,0,0,-0.5061672912415469,0,0,1,1,0,0,0,1,1,0,0
3,0.6651178811732517,1,5,-0.045757367507166476,0,0,0,1,0,0,0,1,0,1,0
3,-0.7683466961256662,0,0,-0.5061672912415469,0,0,1,1,0,0,0,1,1,0,0
3,-2.3345421295903677,0,2,-0.3781040243482295,0,0,1,1,0,0,0,1,0,0,1
2,-0.3701620913204113,0,0,-0.40549388863535163,0,0,1,1,0,0,0,1,1,0,0
1,0.5058440392511496,0,2,0.7292290604025676,0,0,0,0,1,0,0,1,0,0,0
2,-0.3701620913204113,0,0,-0.45440436057664124,0,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.5053534209884438,0,0,1,1,0,0,0,1,1,0,0
3,-1.0868943799698703,0,0,-0.5085326016646277,0,0,0,1,0,0,1,0,0,0,0
2,0.9836655650174556,1,1,-0.023992207493292582,0,0,1,1,0,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.5082058797120599,1,0,0,1,0,0,1,0,0,0,0
1,2.4967670632774244,1,3,4.473325687508288,0,0,1,0,1,0,0,0,1,0,0
3,1.2225763279006086,0,0,-0.5023366230791051,0,0,1,1,0,0,0,1,1,0,0
1,1.2225763279006086,1,1,2.565654899031148,0,0,0,1,0,0,0,1,0,1,0
3,1.4614870907837616,1,3,0.012690646462674635,0,0,0,1,0,0,0,1,0,1,0
1,-0.5294359332425133,3,2,4.48555330549361,0,0,0,0,0,0,0,1,0,0,0
3,-0.13125132843725829,0,0,-0.5183949092268694,1,0,1,1,0,0,0,0,0,0,1
1,-1.325805142853023,2,2,4.473325687508288,0,0,1,0,1,0,0,0,0,0,1
2,1.6207609327058636,0,1,-0.1511594345406456,0,0,0,1,0,0,0,1,0,1,0
1,0.7447548021343027,1,0,0.43380980987717827,0,0,0,0,1,0,0,1,0,1,0
3,0.9040286440564046,0,2,-0.2643871770847311,0,0,0,1,0,0,0,1,0,1,0
3,-1.7239897476582782,3,1,-0.24751306426498618,0,0,0,1,0,0,0,1,0,0,0
1,-0.44979901228146224,1,0,0.9496529060909387,0,0,1,0,1,0,0,1,1,0,0
3,-0.13125132843725829,0,0,-0.5053534209884438,1,0,1,1,0,0,0,1,1,0,0
2,-0.5294359332425133,1,0,-0.45440436057664124,0,0,1,1,0,0,0,1,1,0,0
1,-0.6090728542035643,0,2,0.30859900170747684,0,0,0,0,1,0,0,0,0,0,0
